i,fname,machine_id,sample,part,label,label_idx
48,normal_id_04_00000187_hist_librosa_part184.bin,4,187,184,normal,0
49,normal_id_02_00000235_hist_librosa_part180.bin,2,235,180,normal,0
50,normal_id_04_00000092_hist_librosa_part113.bin,4,92,113,normal,0
51,normal_id_03_00000202_hist_librosa_part104.bin,3,202,104,normal,0
52,anomaly_id_01_00000016_hist_librosa_part104.bin,1,16,104,anomaly,1
53,normal_id_03_00000127_hist_librosa_part098.bin,3,127,98,normal,0
54,normal_id_04_00000044_hist_librosa_part136.bin,4,44,136,normal,0
55,normal_id_04_00000299_hist_librosa_part044.bin,4,299,44,normal,0
56,anomaly_id_01_00000142_hist_librosa_part140.bin,1,142,140,anomaly,1
57,normal_id_04_00000051_hist_librosa_part188.bin,4,51,188,normal,0
58,normal_id_02_00000225_hist_librosa_part045.bin,2,225,45,normal,0
59,anomaly_id_03_00000182_hist_librosa_part195.bin,3,182,195,anomaly,1
60,anomaly_id_03_00000249_hist_librosa_part131.bin,3,249,131,anomaly,1
61,anomaly_id_01_00000259_hist_librosa_part005.bin,1,259,5,anomaly,1
62,normal_id_01_00000103_hist_librosa_part012.bin,1,103,12,normal,0
63,normal_id_04_00000185_hist_librosa_part086.bin,4,185,86,normal,0
64,normal_id_02_00000120_hist_librosa_part051.bin,2,120,51,normal,0
65,normal_id_03_00000028_hist_librosa_part039.bin,3,28,39,normal,0
66,normal_id_02_00000067_hist_librosa_part126.bin,2,67,126,normal,0
67,anomaly_id_02_00000149_hist_librosa_part096.bin,2,149,96,anomaly,1
68,normal_id_03_00000334_hist_librosa_part131.bin,3,334,131,normal,0
69,anomaly_id_01_00000194_hist_librosa_part026.bin,1,194,26,anomaly,1
70,normal_id_04_00000143_hist_librosa_part158.bin,4,143,158,normal,0
71,anomaly_id_01_00000124_hist_librosa_part003.bin,1,124,3,anomaly,1
72,normal_id_03_00000285_hist_librosa_part093.bin,3,285,93,normal,0
73,normal_id_03_00000196_hist_librosa_part087.bin,3,196,87,normal,0
74,normal_id_02_00000078_hist_librosa_part165.bin,2,78,165,normal,0
75,anomaly_id_02_00000194_hist_librosa_part173.bin,2,194,173,anomaly,1
76,normal_id_02_00000205_hist_librosa_part025.bin,2,205,25,normal,0
77,normal_id_01_00000346_hist_librosa_part181.bin,1,346,181,normal,0
78,anomaly_id_01_00000073_hist_librosa_part067.bin,1,73,67,anomaly,1
79,normal_id_01_00000068_hist_librosa_part105.bin,1,68,105,normal,0
80,normal_id_02_00000035_hist_librosa_part009.bin,2,35,9,normal,0
81,anomaly_id_02_00000131_hist_librosa_part092.bin,2,131,92,anomaly,1
82,normal_id_01_00000202_hist_librosa_part195.bin,1,202,195,normal,0
83,normal_id_02_00000246_hist_librosa_part017.bin,2,246,17,normal,0
84,normal_id_02_00000024_hist_librosa_part137.bin,2,24,137,normal,0
85,anomaly_id_03_00000032_hist_librosa_part095.bin,3,32,95,anomaly,1
86,normal_id_03_00000023_hist_librosa_part186.bin,3,23,186,normal,0
87,anomaly_id_03_00000069_hist_librosa_part117.bin,3,69,117,anomaly,1
88,anomaly_id_03_00000092_hist_librosa_part065.bin,3,92,65,anomaly,1
89,normal_id_01_00000300_hist_librosa_part022.bin,1,300,22,normal,0
90,anomaly_id_02_00000098_hist_librosa_part134.bin,2,98,134,anomaly,1
91,anomaly_id_02_00000127_hist_librosa_part178.bin,2,127,178,anomaly,1
92,normal_id_04_00000116_hist_librosa_part067.bin,4,116,67,normal,0
93,normal_id_02_00000167_hist_librosa_part184.bin,2,167,184,normal,0
94,anomaly_id_01_00000076_hist_librosa_part150.bin,1,76,150,anomaly,1
95,normal_id_04_00000293_hist_librosa_part093.bin,4,293,93,normal,0
96,anomaly_id_03_00000166_hist_librosa_part018.bin,3,166,18,anomaly,1
97,normal_id_02_00000172_hist_librosa_part184.bin,2,172,184,normal,0
98,normal_id_02_00000180_hist_librosa_part039.bin,2,180,39,normal,0
99,anomaly_id_01_00000148_hist_librosa_part065.bin,1,148,65,anomaly,1
100,normal_id_02_00000242_hist_librosa_part055.bin,2,242,55,normal,0
101,normal_id_01_00000203_hist_librosa_part060.bin,1,203,60,normal,0
102,normal_id_04_00000283_hist_librosa_part194.bin,4,283,194,normal,0
103,normal_id_03_00000309_hist_librosa_part165.bin,3,309,165,normal,0
104,normal_id_04_00000324_hist_librosa_part080.bin,4,324,80,normal,0
105,normal_id_02_00000020_hist_librosa_part038.bin,2,20,38,normal,0
106,normal_id_03_00000020_hist_librosa_part117.bin,3,20,117,normal,0
107,anomaly_id_03_00000214_hist_librosa_part108.bin,3,214,108,anomaly,1
108,anomaly_id_02_00000244_hist_librosa_part118.bin,2,244,118,anomaly,1
109,anomaly_id_02_00000250_hist_librosa_part002.bin,2,250,2,anomaly,1
110,normal_id_02_00000106_hist_librosa_part073.bin,2,106,73,normal,0
111,normal_id_01_00000162_hist_librosa_part177.bin,1,162,177,normal,0
112,normal_id_04_00000240_hist_librosa_part085.bin,4,240,85,normal,0
113,anomaly_id_01_00000093_hist_librosa_part130.bin,1,93,130,anomaly,1
114,normal_id_04_00000034_hist_librosa_part064.bin,4,34,64,normal,0
115,normal_id_03_00000062_hist_librosa_part105.bin,3,62,105,normal,0
116,normal_id_03_00000132_hist_librosa_part092.bin,3,132,92,normal,0
117,anomaly_id_02_00000176_hist_librosa_part105.bin,2,176,105,anomaly,1
118,anomaly_id_02_00000207_hist_librosa_part037.bin,2,207,37,anomaly,1
119,normal_id_03_00000283_hist_librosa_part022.bin,3,283,22,normal,0
120,anomaly_id_03_00000209_hist_librosa_part064.bin,3,209,64,anomaly,1
121,normal_id_03_00000134_hist_librosa_part166.bin,3,134,166,normal,0
122,normal_id_03_00000090_hist_librosa_part171.bin,3,90,171,normal,0
123,normal_id_04_00000055_hist_librosa_part167.bin,4,55,167,normal,0
124,anomaly_id_02_00000215_hist_librosa_part192.bin,2,215,192,anomaly,1
125,anomaly_id_02_00000027_hist_librosa_part169.bin,2,27,169,anomaly,1
126,anomaly_id_03_00000246_hist_librosa_part165.bin,3,246,165,anomaly,1
127,normal_id_02_00000319_hist_librosa_part126.bin,2,319,126,normal,0
128,normal_id_04_00000249_hist_librosa_part111.bin,4,249,111,normal,0
129,normal_id_02_00000004_hist_librosa_part135.bin,2,4,135,normal,0
130,normal_id_02_00000179_hist_librosa_part021.bin,2,179,21,normal,0
131,normal_id_01_00000235_hist_librosa_part152.bin,1,235,152,normal,0
132,normal_id_04_00000090_hist_librosa_part056.bin,4,90,56,normal,0
133,normal_id_04_00000236_hist_librosa_part073.bin,4,236,73,normal,0
134,normal_id_01_00000266_hist_librosa_part189.bin,1,266,189,normal,0
135,normal_id_04_00000271_hist_librosa_part150.bin,4,271,150,normal,0
136,anomaly_id_03_00000122_hist_librosa_part042.bin,3,122,42,anomaly,1
137,anomaly_id_02_00000054_hist_librosa_part090.bin,2,54,90,anomaly,1
138,normal_id_04_00000231_hist_librosa_part130.bin,4,231,130,normal,0
139,normal_id_02_00000064_hist_librosa_part100.bin,2,64,100,normal,0
140,normal_id_02_00000339_hist_librosa_part154.bin,2,339,154,normal,0
141,normal_id_03_00000169_hist_librosa_part086.bin,3,169,86,normal,0
142,normal_id_04_00000048_hist_librosa_part011.bin,4,48,11,normal,0
143,normal_id_01_00000055_hist_librosa_part168.bin,1,55,168,normal,0
144,normal_id_02_00000329_hist_librosa_part003.bin,2,329,3,normal,0
145,normal_id_04_00000040_hist_librosa_part177.bin,4,40,177,normal,0
146,anomaly_id_03_00000174_hist_librosa_part110.bin,3,174,110,anomaly,1
147,anomaly_id_03_00000239_hist_librosa_part096.bin,3,239,96,anomaly,1
148,normal_id_04_00000060_hist_librosa_part130.bin,4,60,130,normal,0
149,normal_id_03_00000274_hist_librosa_part020.bin,3,274,20,normal,0
150,anomaly_id_01_00000065_hist_librosa_part178.bin,1,65,178,anomaly,1
151,normal_id_01_00000117_hist_librosa_part098.bin,1,117,98,normal,0
152,normal_id_04_00000179_hist_librosa_part095.bin,4,179,95,normal,0
153,anomaly_id_01_00000065_hist_librosa_part171.bin,1,65,171,anomaly,1
154,normal_id_04_00000095_hist_librosa_part001.bin,4,95,1,normal,0
155,normal_id_04_00000235_hist_librosa_part097.bin,4,235,97,normal,0
156,normal_id_01_00000346_hist_librosa_part108.bin,1,346,108,normal,0
157,anomaly_id_03_00000117_hist_librosa_part067.bin,3,117,67,anomaly,1
158,normal_id_03_00000306_hist_librosa_part187.bin,3,306,187,normal,0
159,normal_id_03_00000069_hist_librosa_part180.bin,3,69,180,normal,0
160,normal_id_02_00000318_hist_librosa_part036.bin,2,318,36,normal,0
161,normal_id_01_00000075_hist_librosa_part002.bin,1,75,2,normal,0
162,normal_id_03_00000054_hist_librosa_part050.bin,3,54,50,normal,0
163,normal_id_01_00000207_hist_librosa_part022.bin,1,207,22,normal,0
164,normal_id_03_00000097_hist_librosa_part003.bin,3,97,3,normal,0
165,anomaly_id_02_00000139_hist_librosa_part018.bin,2,139,18,anomaly,1
166,normal_id_03_00000300_hist_librosa_part011.bin,3,300,11,normal,0
167,anomaly_id_01_00000025_hist_librosa_part186.bin,1,25,186,anomaly,1
168,normal_id_02_00000300_hist_librosa_part181.bin,2,300,181,normal,0
169,anomaly_id_03_00000240_hist_librosa_part102.bin,3,240,102,anomaly,1
170,normal_id_01_00000235_hist_librosa_part132.bin,1,235,132,normal,0
171,anomaly_id_03_00000178_hist_librosa_part083.bin,3,178,83,anomaly,1
172,normal_id_02_00000265_hist_librosa_part044.bin,2,265,44,normal,0
173,normal_id_01_00000249_hist_librosa_part078.bin,1,249,78,normal,0
174,anomaly_id_03_00000105_hist_librosa_part147.bin,3,105,147,anomaly,1
175,anomaly_id_03_00000210_hist_librosa_part077.bin,3,210,77,anomaly,1
176,normal_id_03_00000168_hist_librosa_part172.bin,3,168,172,normal,0
177,normal_id_04_00000156_hist_librosa_part151.bin,4,156,151,normal,0
178,anomaly_id_03_00000047_hist_librosa_part047.bin,3,47,47,anomaly,1
179,normal_id_03_00000157_hist_librosa_part168.bin,3,157,168,normal,0
180,normal_id_03_00000150_hist_librosa_part107.bin,3,150,107,normal,0
181,normal_id_03_00000155_hist_librosa_part131.bin,3,155,131,normal,0
182,normal_id_01_00000053_hist_librosa_part150.bin,1,53,150,normal,0
183,anomaly_id_03_00000146_hist_librosa_part043.bin,3,146,43,anomaly,1
184,normal_id_04_00000059_hist_librosa_part057.bin,4,59,57,normal,0
185,normal_id_01_00000067_hist_librosa_part057.bin,1,67,57,normal,0
186,normal_id_04_00000318_hist_librosa_part045.bin,4,318,45,normal,0
187,normal_id_01_00000320_hist_librosa_part012.bin,1,320,12,normal,0
188,normal_id_04_00000195_hist_librosa_part147.bin,4,195,147,normal,0
189,anomaly_id_03_00000180_hist_librosa_part116.bin,3,180,116,anomaly,1
190,normal_id_04_00000203_hist_librosa_part169.bin,4,203,169,normal,0
191,anomaly_id_03_00000189_hist_librosa_part052.bin,3,189,52,anomaly,1
192,normal_id_03_00000151_hist_librosa_part098.bin,3,151,98,normal,0
193,normal_id_03_00000165_hist_librosa_part159.bin,3,165,159,normal,0
194,normal_id_01_00000064_hist_librosa_part082.bin,1,64,82,normal,0
195,anomaly_id_01_00000149_hist_librosa_part157.bin,1,149,157,anomaly,1
196,normal_id_02_00000143_hist_librosa_part076.bin,2,143,76,normal,0
197,normal_id_03_00000030_hist_librosa_part050.bin,3,30,50,normal,0
198,anomaly_id_02_00000240_hist_librosa_part145.bin,2,240,145,anomaly,1
199,normal_id_02_00000020_hist_librosa_part145.bin,2,20,145,normal,0
200,normal_id_04_00000037_hist_librosa_part133.bin,4,37,133,normal,0
201,normal_id_04_00000108_hist_librosa_part099.bin,4,108,99,normal,0
202,normal_id_04_00000100_hist_librosa_part137.bin,4,100,137,normal,0
203,normal_id_03_00000258_hist_librosa_part170.bin,3,258,170,normal,0
204,normal_id_01_00000161_hist_librosa_part039.bin,1,161,39,normal,0
205,normal_id_01_00000272_hist_librosa_part029.bin,1,272,29,normal,0
206,anomaly_id_03_00000192_hist_librosa_part023.bin,3,192,23,anomaly,1
207,normal_id_04_00000143_hist_librosa_part103.bin,4,143,103,normal,0
208,normal_id_02_00000218_hist_librosa_part050.bin,2,218,50,normal,0
209,normal_id_03_00000271_hist_librosa_part113.bin,3,271,113,normal,0
210,anomaly_id_01_00000031_hist_librosa_part122.bin,1,31,122,anomaly,1
211,normal_id_03_00000108_hist_librosa_part112.bin,3,108,112,normal,0
212,normal_id_01_00000304_hist_librosa_part156.bin,1,304,156,normal,0
213,anomaly_id_01_00000189_hist_librosa_part067.bin,1,189,67,anomaly,1
214,normal_id_03_00000117_hist_librosa_part086.bin,3,117,86,normal,0
215,anomaly_id_01_00000253_hist_librosa_part192.bin,1,253,192,anomaly,1
216,normal_id_01_00000027_hist_librosa_part151.bin,1,27,151,normal,0
217,normal_id_01_00000024_hist_librosa_part176.bin,1,24,176,normal,0
218,anomaly_id_01_00000037_hist_librosa_part032.bin,1,37,32,anomaly,1
219,anomaly_id_02_00000194_hist_librosa_part026.bin,2,194,26,anomaly,1
220,normal_id_04_00000031_hist_librosa_part099.bin,4,31,99,normal,0
221,anomaly_id_01_00000213_hist_librosa_part166.bin,1,213,166,anomaly,1
222,normal_id_04_00000185_hist_librosa_part147.bin,4,185,147,normal,0
223,normal_id_01_00000131_hist_librosa_part094.bin,1,131,94,normal,0
224,anomaly_id_02_00000013_hist_librosa_part184.bin,2,13,184,anomaly,1
225,normal_id_02_00000024_hist_librosa_part032.bin,2,24,32,normal,0
226,normal_id_03_00000185_hist_librosa_part170.bin,3,185,170,normal,0
227,anomaly_id_01_00000020_hist_librosa_part033.bin,1,20,33,anomaly,1
228,normal_id_03_00000028_hist_librosa_part130.bin,3,28,130,normal,0
229,normal_id_01_00000220_hist_librosa_part046.bin,1,220,46,normal,0
230,normal_id_01_00000312_hist_librosa_part043.bin,1,312,43,normal,0
231,anomaly_id_03_00000206_hist_librosa_part073.bin,3,206,73,anomaly,1
232,normal_id_04_00000056_hist_librosa_part002.bin,4,56,2,normal,0
233,anomaly_id_01_00000085_hist_librosa_part151.bin,1,85,151,anomaly,1
234,anomaly_id_01_00000238_hist_librosa_part013.bin,1,238,13,anomaly,1
235,anomaly_id_01_00000087_hist_librosa_part128.bin,1,87,128,anomaly,1
236,normal_id_03_00000318_hist_librosa_part046.bin,3,318,46,normal,0
237,normal_id_04_00000161_hist_librosa_part156.bin,4,161,156,normal,0
238,anomaly_id_03_00000072_hist_librosa_part167.bin,3,72,167,anomaly,1
239,anomaly_id_02_00000223_hist_librosa_part074.bin,2,223,74,anomaly,1
240,normal_id_03_00000134_hist_librosa_part018.bin,3,134,18,normal,0
241,normal_id_04_00000259_hist_librosa_part156.bin,4,259,156,normal,0
242,normal_id_02_00000046_hist_librosa_part029.bin,2,46,29,normal,0
243,normal_id_01_00000101_hist_librosa_part182.bin,1,101,182,normal,0
244,normal_id_03_00000187_hist_librosa_part043.bin,3,187,43,normal,0
245,normal_id_01_00000294_hist_librosa_part056.bin,1,294,56,normal,0
246,anomaly_id_03_00000216_hist_librosa_part161.bin,3,216,161,anomaly,1
247,normal_id_02_00000195_hist_librosa_part184.bin,2,195,184,normal,0
248,anomaly_id_02_00000068_hist_librosa_part092.bin,2,68,92,anomaly,1
249,anomaly_id_03_00000033_hist_librosa_part078.bin,3,33,78,anomaly,1
250,anomaly_id_02_00000053_hist_librosa_part075.bin,2,53,75,anomaly,1
251,anomaly_id_03_00000172_hist_librosa_part068.bin,3,172,68,anomaly,1
252,normal_id_03_00000184_hist_librosa_part118.bin,3,184,118,normal,0
253,normal_id_04_00000263_hist_librosa_part023.bin,4,263,23,normal,0
254,normal_id_02_00000047_hist_librosa_part011.bin,2,47,11,normal,0
255,normal_id_03_00000254_hist_librosa_part073.bin,3,254,73,normal,0
256,normal_id_02_00000172_hist_librosa_part142.bin,2,172,142,normal,0
257,normal_id_02_00000319_hist_librosa_part146.bin,2,319,146,normal,0
258,anomaly_id_02_00000111_hist_librosa_part153.bin,2,111,153,anomaly,1
259,normal_id_03_00000072_hist_librosa_part098.bin,3,72,98,normal,0
260,normal_id_04_00000081_hist_librosa_part068.bin,4,81,68,normal,0
261,normal_id_03_00000072_hist_librosa_part085.bin,3,72,85,normal,0
262,anomaly_id_01_00000221_hist_librosa_part177.bin,1,221,177,anomaly,1
263,normal_id_01_00000033_hist_librosa_part120.bin,1,33,120,normal,0
264,normal_id_04_00000172_hist_librosa_part154.bin,4,172,154,normal,0
265,normal_id_02_00000085_hist_librosa_part024.bin,2,85,24,normal,0
266,normal_id_02_00000277_hist_librosa_part013.bin,2,277,13,normal,0
267,normal_id_03_00000324_hist_librosa_part003.bin,3,324,3,normal,0
268,anomaly_id_01_00000031_hist_librosa_part154.bin,1,31,154,anomaly,1
269,anomaly_id_01_00000242_hist_librosa_part162.bin,1,242,162,anomaly,1
270,normal_id_03_00000276_hist_librosa_part036.bin,3,276,36,normal,0
271,normal_id_02_00000125_hist_librosa_part158.bin,2,125,158,normal,0
272,normal_id_03_00000038_hist_librosa_part144.bin,3,38,144,normal,0
273,normal_id_04_00000010_hist_librosa_part120.bin,4,10,120,normal,0
274,normal_id_03_00000318_hist_librosa_part136.bin,3,318,136,normal,0
275,anomaly_id_03_00000107_hist_librosa_part128.bin,3,107,128,anomaly,1
276,normal_id_03_00000228_hist_librosa_part141.bin,3,228,141,normal,0
277,normal_id_02_00000206_hist_librosa_part093.bin,2,206,93,normal,0
278,normal_id_03_00000271_hist_librosa_part004.bin,3,271,4,normal,0
279,normal_id_02_00000347_hist_librosa_part045.bin,2,347,45,normal,0
280,normal_id_02_00000159_hist_librosa_part162.bin,2,159,162,normal,0
281,normal_id_03_00000001_hist_librosa_part098.bin,3,1,98,normal,0
282,normal_id_02_00000098_hist_librosa_part039.bin,2,98,39,normal,0
283,anomaly_id_03_00000172_hist_librosa_part163.bin,3,172,163,anomaly,1
284,normal_id_01_00000133_hist_librosa_part103.bin,1,133,103,normal,0
285,normal_id_01_00000101_hist_librosa_part091.bin,1,101,91,normal,0
286,anomaly_id_02_00000068_hist_librosa_part073.bin,2,68,73,anomaly,1
287,normal_id_01_00000329_hist_librosa_part040.bin,1,329,40,normal,0
288,anomaly_id_02_00000073_hist_librosa_part012.bin,2,73,12,anomaly,1
289,normal_id_01_00000224_hist_librosa_part088.bin,1,224,88,normal,0
290,normal_id_04_00000271_hist_librosa_part157.bin,4,271,157,normal,0
291,normal_id_01_00000119_hist_librosa_part110.bin,1,119,110,normal,0
292,normal_id_02_00000058_hist_librosa_part140.bin,2,58,140,normal,0
293,normal_id_03_00000306_hist_librosa_part152.bin,3,306,152,normal,0
294,normal_id_01_00000267_hist_librosa_part131.bin,1,267,131,normal,0
295,anomaly_id_01_00000147_hist_librosa_part035.bin,1,147,35,anomaly,1
296,normal_id_03_00000173_hist_librosa_part157.bin,3,173,157,normal,0
297,anomaly_id_01_00000245_hist_librosa_part170.bin,1,245,170,anomaly,1
298,normal_id_03_00000039_hist_librosa_part187.bin,3,39,187,normal,0
299,normal_id_04_00000097_hist_librosa_part036.bin,4,97,36,normal,0
300,normal_id_04_00000212_hist_librosa_part049.bin,4,212,49,normal,0
301,normal_id_03_00000132_hist_librosa_part033.bin,3,132,33,normal,0
302,anomaly_id_03_00000187_hist_librosa_part164.bin,3,187,164,anomaly,1
303,normal_id_01_00000099_hist_librosa_part046.bin,1,99,46,normal,0
304,anomaly_id_02_00000015_hist_librosa_part079.bin,2,15,79,anomaly,1
305,normal_id_02_00000215_hist_librosa_part166.bin,2,215,166,normal,0
306,normal_id_03_00000190_hist_librosa_part144.bin,3,190,144,normal,0
307,normal_id_03_00000148_hist_librosa_part068.bin,3,148,68,normal,0
308,anomaly_id_02_00000213_hist_librosa_part082.bin,2,213,82,anomaly,1
309,anomaly_id_03_00000194_hist_librosa_part189.bin,3,194,189,anomaly,1
310,normal_id_03_00000105_hist_librosa_part180.bin,3,105,180,normal,0
311,normal_id_03_00000022_hist_librosa_part160.bin,3,22,160,normal,0
312,normal_id_01_00000095_hist_librosa_part117.bin,1,95,117,normal,0
313,normal_id_03_00000312_hist_librosa_part120.bin,3,312,120,normal,0
314,normal_id_02_00000349_hist_librosa_part111.bin,2,349,111,normal,0
315,normal_id_03_00000212_hist_librosa_part027.bin,3,212,27,normal,0
316,normal_id_01_00000035_hist_librosa_part023.bin,1,35,23,normal,0
317,anomaly_id_02_00000066_hist_librosa_part029.bin,2,66,29,anomaly,1
318,normal_id_04_00000073_hist_librosa_part093.bin,4,73,93,normal,0
319,anomaly_id_02_00000232_hist_librosa_part025.bin,2,232,25,anomaly,1
320,normal_id_02_00000176_hist_librosa_part190.bin,2,176,190,normal,0
321,normal_id_02_00000133_hist_librosa_part159.bin,2,133,159,normal,0
322,normal_id_01_00000212_hist_librosa_part035.bin,1,212,35,normal,0
323,normal_id_01_00000306_hist_librosa_part101.bin,1,306,101,normal,0
324,normal_id_04_00000033_hist_librosa_part048.bin,4,33,48,normal,0
325,normal_id_02_00000155_hist_librosa_part006.bin,2,155,6,normal,0
326,normal_id_03_00000043_hist_librosa_part017.bin,3,43,17,normal,0
327,normal_id_03_00000324_hist_librosa_part148.bin,3,324,148,normal,0
328,normal_id_04_00000051_hist_librosa_part132.bin,4,51,132,normal,0
329,normal_id_04_00000014_hist_librosa_part157.bin,4,14,157,normal,0
330,normal_id_04_00000269_hist_librosa_part166.bin,4,269,166,normal,0
331,anomaly_id_03_00000157_hist_librosa_part091.bin,3,157,91,anomaly,1
332,normal_id_01_00000198_hist_librosa_part164.bin,1,198,164,normal,0
333,normal_id_02_00000345_hist_librosa_part004.bin,2,345,4,normal,0
334,normal_id_01_00000341_hist_librosa_part024.bin,1,341,24,normal,0
335,normal_id_04_00000095_hist_librosa_part008.bin,4,95,8,normal,0
336,normal_id_02_00000250_hist_librosa_part162.bin,2,250,162,normal,0
337,normal_id_02_00000303_hist_librosa_part107.bin,2,303,107,normal,0
338,normal_id_04_00000130_hist_librosa_part171.bin,4,130,171,normal,0
339,normal_id_02_00000055_hist_librosa_part094.bin,2,55,94,normal,0
340,normal_id_01_00000230_hist_librosa_part116.bin,1,230,116,normal,0
341,normal_id_03_00000311_hist_librosa_part122.bin,3,311,122,normal,0
342,anomaly_id_01_00000243_hist_librosa_part135.bin,1,243,135,anomaly,1
343,anomaly_id_02_00000199_hist_librosa_part146.bin,2,199,146,anomaly,1
344,anomaly_id_01_00000188_hist_librosa_part065.bin,1,188,65,anomaly,1
345,anomaly_id_01_00000023_hist_librosa_part143.bin,1,23,143,anomaly,1
346,normal_id_04_00000041_hist_librosa_part020.bin,4,41,20,normal,0
347,normal_id_04_00000203_hist_librosa_part047.bin,4,203,47,normal,0
348,normal_id_04_00000214_hist_librosa_part138.bin,4,214,138,normal,0
349,normal_id_01_00000136_hist_librosa_part109.bin,1,136,109,normal,0
350,anomaly_id_03_00000148_hist_librosa_part003.bin,3,148,3,anomaly,1
351,normal_id_03_00000097_hist_librosa_part028.bin,3,97,28,normal,0
352,anomaly_id_02_00000015_hist_librosa_part021.bin,2,15,21,anomaly,1
353,normal_id_02_00000181_hist_librosa_part017.bin,2,181,17,normal,0
354,normal_id_04_00000247_hist_librosa_part167.bin,4,247,167,normal,0
355,anomaly_id_02_00000088_hist_librosa_part047.bin,2,88,47,anomaly,1
356,normal_id_03_00000329_hist_librosa_part123.bin,3,329,123,normal,0
357,normal_id_03_00000317_hist_librosa_part071.bin,3,317,71,normal,0
358,anomaly_id_03_00000121_hist_librosa_part149.bin,3,121,149,anomaly,1
359,anomaly_id_01_00000156_hist_librosa_part157.bin,1,156,157,anomaly,1
360,normal_id_01_00000077_hist_librosa_part017.bin,1,77,17,normal,0
361,anomaly_id_01_00000116_hist_librosa_part099.bin,1,116,99,anomaly,1
362,normal_id_03_00000029_hist_librosa_part025.bin,3,29,25,normal,0
363,anomaly_id_03_00000114_hist_librosa_part056.bin,3,114,56,anomaly,1
